date;AOS;ADM;AFL;AEE;APD;BAX;BXP;CINF;CMI;CMS;COO;DHI;DOV;DTE;ED;EIX;EMN;ESS;FDS;FE;FRT;GL;HBAN;HOLX;IEX;INCY;JBHT;LNC;MAA;MHK;NTRS;NUE;POOL;PNW;PPG;RHI;ROK;ROP;SNA;SJM;STT;SWK;TER;VMC;TTWO;ROL;ATO;AVY;BRO;CHD
31.12.2012;0.18%;3.29%;0.95%;2.49%;1.29%;0.58%;3.09%;-3.37%;10.93%;-0.21%;-2.60%;1.83%;3.90%;-0.88%;0.62%;-0.65%;11.82%;4.37%;-4.38%;-0.43%;-0.03%;-0.63%;3.56%;4.86%;3.50%;-5.63%;0.66%;4.85%;3.89%;5.20%;4.45%;4.80%;1.41%;-0.94%;9.43%;13.22%;6.63%;-0.05%;-0.07%;-1.93%;5.77%;2.85%;7.98%;-1.48%;-11.00%;-2.38%;1.33%;4.38%;-4.82%;-0.62%
31.01.2013;9.85%;4.16%;-0.11%;7.04%;4.85%;2.48%;0.12%;9.50%;5.98%;5.41%;9.59%;20.56%;5.28%;6.52%;2.41%;7.45%;5.05%;5.65%;5.06%;-3.04%;2.47%;7.82%;9.63%;19.14%;7.22%;10.66%;12.96%;11.89%;0.96%;12.37%;3.28%;7.51%;8.27%;4.71%;1.86%;10.75%;6.19%;5.51%;2.57%;2.77%;19.00%;4.60%;-4.32%;8.66%;10.54%;12.16%;6.38%;11.18%;7.38%;7.88%
28.02.2013;3.54%;11.67%;-5.86%;4.16%;-1.25%;-0.35%;-1.33%;6.06%;0.91%;3.54%;4.68%;-5.75%;6.03%;5.51%;3.73%;-0.33%;-2.00%;-3.11%;5.16%;-2.49%;0.34%;1.16%;1.01%;-8.47%;2.51%;20.95%;3.55%;2.37%;7.36%;4.29%;3.32%;-2.09%;-0.22%;5.87%;-2.33%;0.88%;1.29%;6.10%;-0.93%;7.53%;1.69%;2.43%;3.71%;-9.95%;20.30%;-0.85%;2.17%;6.08%;10.09%;7.22%
31.03.2013;2.85%;6.51%;4.89%;3.64%;0.90%;7.46%;-2.71%;4.91%;0.37%;6.04%;1.72%;8.97%;-0.15%;2.31%;4.57%;4.77%;0.20%;1.07%;-4.52%;8.38%;1.72%;6.42%;4.84%;3.57%;4.89%;5.31%;6.92%;10.39%;-0.55%;6.70%;2.58%;2.44%;4.99%;3.49%;-0.10%;6.05%;-3.92%;2.17%;3.54%;4.65%;4.42%;2.88%;-3.22%;1.53%;10.31%;0.52%;12.87%;5.43%;6.80%;4.80%
30.04.2013;2.53%;0.62%;4.65%;4.75%;0.63%;-3.19%;8.98%;4.48%;-8.13%;7.16%;2.34%;7.33%;-5.35%;7.64%;4.29%;7.63%;-4.22%;5.15%;1.59%;10.43%;9.05%;3.80%;-2.19%;-9.87%;-2.60%;-5.38%;-4.58%;4.29%;-0.48%;-1.98%;-0.62%;-4.72%;2.47%;5.20%;9.86%;-12.55%;-1.82%;-6.02%;4.23%;4.10%;-0.62%;-7.03%;1.36%;-3.52%;-5.51%;-0.94%;3.94%;-3.12%;-3.28%;-1.14%
31.05.2013;4.27%;-5.04%;2.30%;-6.10%;8.57%;0.66%;-2.60%;-3.21%;12.44%;-9.99%;2.36%;-6.60%;13.44%;-8.60%;-10.34%;-14.61%;7.61%;0.06%;4.38%;-16.29%;-7.91%;4.23%;8.09%;1.87%;6.28%;0.09%;3.64%;5.25%;-0.12%;0.26%;7.84%;2.04%;4.96%;-6.42%;4.40%;5.91%;3.82%;3.96%;5.67%;-2.20%;13.19%;5.89%;9.12%;7.42%;9.04%;3.87%;-4.85%;4.95%;4.44%;-4.82%
30.06.2013;-7.45%;5.80%;5.03%;1.18%;-3.01%;-1.51%;-1.04%;-3.00%;-8.95%;1.68%;5.34%;-12.64%;-0.31%;0.60%;3.20%;4.83%;-2.38%;1.13%;4.19%;-3.12%;-3.78%;0.98%;1.55%;-6.99%;-2.25%;-0.77%;-1.73%;2.27%;-0.29%;1.19%;-0.43%;-2.67%;2.24%;-1.79%;-4.31%;-3.97%;-4.99%;0.00%;-1.47%;2.68%;-1.47%;-2.42%;-2.06%;-9.63%;-10.04%;2.91%;-1.98%;-1.70%;-0.09%;1.93%
31.07.2013;13.89%;7.55%;6.13%;5.18%;19.52%;6.19%;2.05%;7.68%;11.74%;3.02%;6.97%;-5.55%;10.28%;6.56%;2.73%;4.27%;15.38%;2.28%;7.10%;1.96%;2.30%;9.12%;9.36%;17.62%;10.85%;6.41%;3.72%;14.26%;-0.32%;5.78%;1.65%;8.90%;0.71%;6.18%;9.58%;12.07%;16.49%;1.40%;6.12%;9.08%;7.27%;10.15%;-6.15%;-2.54%;17.23%;-1.54%;7.74%;5.31%;2.33%;3.22%
31.08.2013;2.07%;-3.45%;-6.31%;-5.59%;-5.98%;-4.76%;-4.16%;-6.79%;1.66%;-4.36%;2.58%;-11.19%;-0.69%;-5.42%;-6.13%;-7.94%;-5.51%;-11.15%;-6.26%;-1.58%;-7.61%;-2.83%;-3.63%;-5.99%;-0.07%;44.77%;-3.72%;1.20%;-7.77%;-1.26%;-6.27%;-2.76%;-1.31%;-7.01%;-2.64%;-5.29%;0.39%;-1.67%;-1.32%;-5.67%;-4.23%;0.76%;-6.91%;1.31%;4.62%;-2.94%;-8.79%;-4.40%;-5.61%;-6.83%
30.09.2013;7.49%;5.18%;7.89%;3.05%;4.34%;-5.56%;4.29%;3.24%;8.40%;-0.79%;-0.70%;8.85%;6.09%;-1.33%;-0.93%;0.37%;2.50%;3.06%;6.95%;-1.30%;4.25%;5.02%;0.24%;-3.23%;9.90%;12.57%;1.29%;-0.12%;1.36%;10.86%;-0.89%;7.76%;8.02%;0.87%;7.35%;11.14%;10.57%;7.41%;6.72%;-0.53%;-1.45%;6.23%;7.62%;8.41%;-1.03%;7.49%;6.45%;2.46%;3.36%;1.64%
31.10.2013;14.27%;11.02%;4.82%;5.11%;2.96%;0.99%;-2.58%;7.09%;-4.40%;4.33%;-0.37%;-2.47%;2.18%;5.83%;5.59%;7.23%;1.53%;9.89%;-0.15%;3.90%;2.88%;0.70%;7.17%;8.38%;5.98%;2.23%;2.88%;8.14%;6.24%;1.67%;4.34%;6.39%;-3.01%;2.36%;9.29%;-1.28%;3.24%;-4.56%;4.59%;5.87%;6.99%;-12.17%;5.87%;3.36%;-1.43%;4.26%;3.94%;8.27%;-0.53%;8.49%
30.11.2013;5.09%;-1.59%;2.14%;-0.91%;-0.17%;3.92%;-3.87%;4.72%;4.20%;-2.46%;1.96%;4.91%;-1.14%;-3.47%;-5.17%;-5.75%;-2.23%;-5.71%;3.73%;-13.84%;-0.08%;4.56%;4.20%;0.04%;3.53%;19.49%;0.21%;13.36%;-8.24%;5.74%;4.56%;-1.37%;3.05%;-3.82%;0.81%;0.26%;2.87%;2.41%;2.00%;-6.27%;3.62%;2.91%;-2.63%;5.27%;-8.65%;1.77%;0.41%;3.78%;-0.67%;0.15%
31.12.2013;-0.39%;8.33%;1.20%;0.86%;2.71%;1.61%;0.88%;-0.08%;7.01%;0.87%;-6.00%;12.27%;6.83%;-0.52%;1.19%;0.19%;4.76%;-5.47%;-3.62%;2.55%;-2.04%;2.83%;5.23%;-0.18%;3.53%;8.65%;3.02%;0.56%;0.83%;6.34%;4.92%;4.54%;4.12%;-0.82%;3.39%;9.16%;4.57%;6.92%;3.61%;-0.06%;1.07%;-0.86%;3.46%;5.43%;6.17%;8.40%;3.02%;2.64%;-0.73%;2.02%
31.01.2014;-12.46%;-9.03%;-6.02%;5.81%;-5.35%;-1.08%;10.78%;-6.72%;-9.92%;3.81%;0.36%;5.20%;-10.34%;3.79%;-1.57%;4.82%;-2.94%;11.28%;-2.59%;-4.52%;8.32%;-3.63%;-5.51%;-4.43%;-2.49%;29.41%;-2.91%;-6.95%;6.26%;-4.51%;-2.18%;-8.79%;-6.81%;-0.55%;-3.85%;-0.50%;-2.81%;-1.04%;-8.56%;-6.98%;-8.45%;-3.47%;6.75%;3.89%;10.42%;-4.85%;5.70%;-1.25%;0.32%;-2.56%
28.02.2014;5.25%;2.84%;2.07%;6.79%;15.39%;1.76%;4.02%;-3.24%;14.92%;2.30%;3.19%;4.60%;8.94%;5.19%;3.01%;8.74%;12.15%;5.61%;-0.45%;-2.25%;2.12%;3.14%;5.07%;1.97%;4.58%;-1.92%;-4.24%;4.70%;6.04%;-0.46%;2.71%;3.91%;7.90%;6.91%;8.48%;-2.01%;6.97%;-1.04%;12.00%;3.76%;-1.91%;7.29%;7.82%;10.04%;3.08%;3.61%;-3.98%;1.12%;-4.41%;5.26%
31.03.2014;-7.10%;7.50%;-1.04%;1.95%;-1.88%;5.87%;1.87%;3.80%;2.55%;4.02%;7.14%;-11.70%;4.46%;3.53%;-3.15%;8.10%;-1.40%;1.67%;2.74%;11.86%;3.06%;1.54%;4.62%;-1.29%;-2.90%;-16.71%;0.34%;1.08%;0.93%;-3.92%;6.00%;0.60%;4.89%;-1.78%;-1.88%;2.93%;1.90%;-1.56%;1.58%;-2.17%;5.91%;-2.17%;-1.92%;-2.10%;10.93%;1.66%;3.08%;1.71%;2.52%;2.09%
30.04.2014;1.61%;0.78%;-0.51%;1.28%;-0.63%;-0.37%;2.87%;1.06%;1.25%;3.52%;-3.97%;2.91%;6.17%;6.16%;8.16%;0.58%;1.52%;2.63%;-1.22%;-0.82%;3.18%;1.27%;-7.64%;-2.37%;2.30%;-9.27%;5.81%;-4.26%;2.02%;-2.63%;-7.64%;3.15%;-3.45%;2.36%;0.08%;6.79%;-4.31%;4.07%;2.22%;-0.58%;-6.82%;6.36%;-11.16%;-2.89%;-7.07%;-0.53%;8.30%;-3.40%;-3.19%;-0.09%
31.05.2014;5.94%;2.77%;-2.38%;-4.74%;2.08%;2.23%;3.02%;0.62%;1.38%;-0.96%;-2.19%;6.28%;0.90%;-2.59%;-5.20%;-2.51%;1.25%;4.44%;0.60%;0.21%;1.68%;1.79%;1.20%;16.44%;3.24%;2.04%;2.05%;-0.81%;4.99%;2.45%;0.25%;-2.16%;-2.19%;-0.95%;4.13%;1.76%;1.59%;2.12%;1.09%;6.12%;1.10%;1.76%;0.74%;-5.52%;1.23%;1.96%;-1.84%;4.19%;1.38%;0.32%
30.06.2014;0.41%;-1.32%;2.28%;3.89%;7.21%;-2.84%;-2.07%;-2.00%;1.32%;4.71%;5.05%;3.98%;4.77%;2.30%;6.15%;5.39%;-1.03%;2.18%;12.67%;3.78%;1.17%;1.46%;2.91%;3.72%;5.29%;13.91%;-4.75%;7.26%;0.97%;1.98%;6.31%;-2.73%;-1.66%;5.44%;4.59%;5.15%;3.87%;3.06%;1.46%;4.47%;3.05%;0.48%;10.49%;4.65%;7.80%;-1.84%;7.38%;1.08%;2.07%;1.50%
31.07.2014;-5.81%;5.19%;-4.03%;-4.98%;3.21%;4.04%;1.63%;-3.33%;-9.66%;-7.13%;18.70%;-15.79%;-5.71%;-4.36%;-2.86%;-5.11%;-9.46%;3.25%;-0.12%;-10.11%;1.64%;-3.43%;3.48%;2.84%;-6.09%;-15.72%;4.72%;1.85%;-4.28%;-9.81%;4.74%;2.72%;-3.18%;-7.52%;-5.61%;1.91%;-10.79%;-1.33%;1.42%;-6.50%;5.19%;0.15%;-7.04%;-0.97%;0.63%;-5.63%;-9.51%;-7.24%;0.23%;-8.25%
31.08.2014;5.42%;7.46%;2.51%;4.01%;0.95%;0.39%;1.65%;4.50%;4.10%;6.52%;1.36%;4.73%;2.46%;6.00%;3.21%;7.92%;4.68%;2.05%;6.05%;9.71%;2.19%;3.43%;0.20%;-4.60%;1.84%;13.94%;-1.96%;5.38%;4.48%;17.03%;3.68%;8.16%;3.47%;7.55%;3.78%;3.21%;4.43%;4.65%;3.95%;2.97%;2.26%;4.63%;13.01%;0.40%;5.05%;5.09%;4.64%;1.95%;5.98%;6.33%
30.09.2014;-3.67%;2.98%;-4.29%;-4.15%;-2.27%;-4.28%;-4.66%;-2.16%;-8.55%;-2.88%;-4.47%;-5.06%;-8.17%;-2.77%;-1.03%;-5.44%;-1.92%;-7.60%;-4.32%;-0.81%;-5.06%;-4.00%;-1.12%;-2.17%;-5.94%;-9.50%;-1.99%;-2.65%;-9.22%;-7.67%;-1.90%;-0.07%;-4.46%;-4.06%;-4.11%;-2.06%;-5.28%;-2.84%;-2.76%;-2.91%;2.19%;-2.96%;-5.83%;-4.88%;-1.87%;-1.22%;-4.96%;-6.55%;-1.11%;3.30%
31.10.2014;12.84%;-8.02%;2.54%;11.57%;4.04%;-1.58%;10.12%;8.26%;10.76%;10.15%;5.23%;11.06%;-1.11%;8.96%;11.82%;12.62%;0.28%;13.69%;8.15%;11.23%;12.07%;1.13%;2.36%;7.64%;3.51%;36.72%;7.72%;2.20%;7.63%;5.36%;-2.08%;0.27%;10.72%;12.50%;3.53%;11.80%;2.25%;8.21%;9.13%;5.06%;2.93%;6.06%;-4.83%;2.46%;14.65%;8.85%;11.11%;4.93%;-0.90%;3.21%
30.11.2014;1.38%;12.09%;0.00%;1.82%;6.81%;4.08%;2.28%;0.95%;-0.38%;1.32%;3.05%;11.85%;-3.08%;-0.85%;-0.33%;1.57%;2.65%;0.32%;4.28%;-1.23%;0.65%;1.74%;2.02%;2.33%;2.97%;12.66%;3.46%;3.74%;5.39%;8.13%;2.16%;-0.80%;-0.49%;3.90%;7.43%;3.67%;2.72%;-0.16%;2.41%;-1.38%;1.68%;0.85%;7.88%;7.11%;4.57%;2.07%;1.32%;5.68%;1.42%;5.94%
31.12.2014;4.60%;-0.83%;2.95%;7.01%;0.28%;0.40%;-0.73%;1.73%;-0.46%;5.86%;-4.03%;-0.54%;-6.39%;6.03%;5.58%;3.02%;-8.51%;2.07%;2.98%;6.76%;0.60%;0.78%;4.06%;-0.22%;1.34%;-3.23%;2.34%;1.84%;1.38%;1.15%;-0.49%;-8.54%;7.18%;8.03%;5.98%;3.13%;-3.09%;-0.93%;1.44%;-0.94%;2.31%;1.74%;-0.30%;-0.47%;1.34%;2.40%;4.57%;4.79%;2.20%;3.17%
31.01.2015;5.32%;-10.33%;-6.56%;-0.90%;1.48%;-3.38%;12.12%;-1.70%;-3.27%;8.58%;-2.74%;-3.04%;-2.34%;4.69%;4.95%;4.72%;-6.06%;10.09%;2.02%;3.44%;8.41%;-7.35%;-4.18%;13.58%;-7.05%;9.03%;-5.51%;-13.33%;6.21%;6.23%;-2.52%;-10.33%;-1.94%;2.74%;-3.58%;-0.55%;-2.05%;-1.29%;-2.95%;2.15%;-8.56%;-1.99%;-8.26%;7.27%;6.03%;-0.15%;2.10%;1.47%;-6.26%;2.68%
28.02.2015;6.09%;2.68%;9.06%;-6.34%;7.23%;-1.65%;-1.00%;4.45%;1.99%;-6.89%;4.03%;11.38%;2.87%;-8.51%;-8.86%;-5.72%;5.04%;-1.60%;8.33%;-13.27%;-1.21%;6.35%;9.18%;6.62%;7.19%;7.70%;7.40%;15.75%;-7.76%;11.70%;6.81%;7.74%;11.19%;-7.92%;5.61%;6.72%;7.46%;8.75%;10.94%;11.83%;4.11%;5.01%;6.74%;17.71%;-10.87%;1.48%;-6.80%;2.45%;4.18%;5.22%
31.03.2015;4.50%;-0.41%;3.48%;-0.50%;-3.11%;-0.94%;2.23%;0.99%;-1.96%;0.14%;14.30%;4.54%;-3.55%;-1.63%;-2.42%;-2.77%;-6.98%;3.36%;2.60%;1.13%;3.65%;3.14%;1.01%;2.01%;-1.85%;6.77%;0.14%;-0.31%;6.62%;0.76%;-0.26%;1.06%;0.85%;-0.52%;-3.91%;-2.00%;-0.34%;2.64%;0.25%;0.90%;-1.24%;-3.03%;-2.14%;1.69%;-3.89%;10.99%;5.03%;-1.20%;3.39%;0.73%
30.04.2015;-2.68%;3.12%;-1.52%;-2.00%;-4.68%;1.13%;-5.38%;-4.12%;-0.27%;-2.81%;-4.99%;-10.81%;9.55%;-0.43%;0.90%;-1.79%;10.68%;-2.86%;-1.14%;2.42%;-8.64%;2.42%;-1.19%;2.15%;-1.08%;6.00%;2.11%;-1.69%;-3.44%;-6.59%;5.52%;3.62%;-6.68%;-4.00%;-1.76%;-8.38%;2.25%;-2.23%;1.69%;0.16%;5.31%;4.05%;-3.18%;1.45%;-6.91%;0.28%;-2.35%;5.76%;-3.50%;-4.98%
31.05.2015;12.03%;8.12%;-1.30%;-1.73%;2.32%;-3.10%;-1.72%;-0.12%;-1.96%;0.62%;2.08%;2.83%;-0.42%;-0.50%;0.47%;-0.21%;0.72%;0.30%;4.94%;-0.64%;0.60%;1.71%;2.49%;6.02%;3.43%;13.37%;-3.65%;1.28%;3.44%;7.57%;1.91%;-3.19%;2.14%;0.49%;3.31%;1.66%;3.62%;4.19%;3.91%;2.27%;1.05%;3.79%;15.89%;5.16%;15.49%;0.08%;0.04%;11.37%;1.72%;3.45%
30.06.2015;0.84%;-8.28%;0.58%;-6.34%;-6.77%;5.80%;-6.91%;-0.79%;-2.69%;-5.93%;-2.09%;5.01%;-6.44%;-5.79%;-5.40%;-8.60%;6.58%;-4.55%;-1.35%;-7.87%;-4.74%;2.02%;1.62%;6.40%;1.71%;-5.39%;-2.06%;3.88%;-4.69%;2.28%;2.56%;-6.83%;6.29%;-6.62%;0.57%;-1.20%;1.96%;-1.43%;2.82%;-8.05%;-1.19%;2.73%;-8.54%;-6.57%;0.73%;15.32%;-4.39%;-1.57%;1.45%;-2.99%
31.07.2015;-0.22%;-1.66%;2.97%;10.20%;4.75%;5.52%;2.39%;11.02%;-1.27%;7.60%;-0.55%;8.52%;-8.71%;8.80%;9.87%;8.78%;-3.69%;6.56%;1.94%;4.33%;7.49%;6.07%;3.72%;9.46%;-3.25%;0.07%;2.47%;-4.90%;10.34%;5.60%;0.53%;0.95%;0.34%;8.47%;-5.53%;-0.85%;-6.31%;-3.01%;3.49%;3.03%;-0.14%;0.75%;-0.16%;8.45%;14.54%;1.65%;7.84%;0.45%;1.80%;6.41%
31.08.2015;-9.94%;-5.12%;-8.51%;-1.92%;-2.09%;-4.07%;-8.03%;-5.22%;-6.01%;-4.32%;-8.22%;2.29%;-3.31%;-2.98%;-1.07%;-2.55%;-7.58%;-4.58%;-4.67%;-5.89%;-5.64%;-5.11%;-6.51%;-6.84%;-5.14%;11.42%;-13.26%;-9.51%;-1.19%;-2.29%;-8.69%;-1.93%;-1.05%;-2.59%;-12.08%;-7.27%;-4.24%;-2.96%;-3.05%;5.40%;-6.06%;-3.76%;-6.33%;2.86%;-7.76%;-3.72%;-0.92%;-4.55%;-4.16%;-0.06%
30.09.2015;1.05%;-7.32%;-0.20%;4.91%;-8.56%;-14.56%;4.43%;2.81%;-10.13%;8.68%;-8.35%;-3.12%;-7.03%;2.96%;7.30%;7.85%;-10.68%;4.10%;1.48%;-0.98%;5.71%;-3.52%;-2.84%;0.82%;-0.74%;-5.04%;-1.90%;-6.56%;4.17%;-7.71%;-2.41%;-13.26%;4.15%;7.74%;-7.66%;0.62%;-8.75%;-3.33%;-5.23%;-2.48%;-6.55%;-4.47%;-0.17%;-4.62%;-1.37%;-3.51%;6.91%;-1.99%;-3.08%;-2.39%
31.10.2015;17.84%;10.16%;9.67%;4.45%;9.64%;14.17%;6.89%;12.92%;-4.67%;2.12%;2.35%;0.27%;12.68%;2.48%;-1.65%;-3.40%;12.15%;-0.68%;9.58%;-0.35%;5.90%;3.10%;4.07%;-0.69%;7.66%;6.53%;6.96%;12.75%;4.06%;7.54%;3.82%;13.75%;12.78%;-0.98%;18.90%;2.93%;7.58%;18.92%;9.90%;2.89%;3.19%;9.89%;8.76%;8.27%;15.56%;-0.19%;8.28%;14.85%;4.20%;2.61%
30.11.2015;4.10%;-20.08%;2.34%;0.18%;-1.50%;0.70%;-0.68%;1.46%;-3.03%;-2.91%;-4.01%;9.75%;2.28%;-1.35%;-5.48%;-1.92%;0.67%;4.70%;-3.19%;0.61%;2.11%;4.50%;6.56%;3.83%;3.09%;-2.80%;2.45%;3.19%;4.91%;-2.45%;6.46%;-2.01%;0.61%;0.74%;1.42%;-2.81%;-2.49%;3.99%;3.78%;3.24%;5.19%;3.00%;6.45%;6.31%;6.54%;1.23%;-1.10%;1.52%;0.59%;-0.37%
31.12.2015;-3.96%;1.26%;-7.60%;-1.22%;-4.96%;1.32%;2.03%;-3.18%;-11.44%;3.85%;-8.25%;-0.63%;-6.38%;-0.38%;4.50%;-0.26%;-7.09%;3.72%;-3.87%;2.26%;-0.30%;-5.72%;-5.40%;-4.12%;-2.79%;-5.08%;-5.99%;-8.61%;2.53%;-0.71%;-3.81%;-2.78%;-1.23%;1.76%;-6.23%;-7.54%;-2.94%;-1.92%;-0.07%;2.36%;-8.58%;-2.24%;-0.25%;-7.42%;-1.51%;-3.96%;1.85%;-4.48%;-0.74%;-0.65%
31.01.2016;-8.83%;-3.64%;-3.25%;4.93%;-2.03%;-3.78%;-7.54%;-1.10%;2.13%;7.75%;-2.28%;-14.12%;-4.67%;6.97%;7.96%;5.20%;-8.75%;-10.47%;-7.31%;4.18%;3.88%;-4.94%;-21.95%;-12.29%;-5.36%;-34.95%;-0.91%;-21.50%;3.30%;-12.14%;-13.48%;-2.16%;4.60%;2.83%;-3.75%;-7.16%;-6.87%;-7.45%;-5.77%;4.03%;-15.60%;-11.18%;-6.01%;-7.14%;-0.41%;6.36%;9.79%;-2.83%;-5.77%;-1.05%
29.02.2016;0.74%;-1.12%;2.67%;4.50%;4.53%;7.93%;-1.80%;9.54%;8.52%;1.73%;9.01%;-2.89%;3.97%;-1.07%;0.87%;10.27%;4.78%;-1.82%;-0.16%;1.22%;-1.86%;-5.54%;1.96%;2.01%;4.10%;4.15%;4.92%;-6.95%;-3.28%;7.98%;-4.37%;0.67%;-5.03%;4.80%;1.46%;-10.03%;8.89%;-4.27%;-10.47%;-0.60%;-1.72%;-0.37%;-1.82%;11.69%;3.70%;-0.09%;0.25%;6.93%;6.79%;8.03%
31.03.2016;8.79%;4.79%;6.82%;6.69%;8.72%;3.95%;11.32%;3.50%;13.78%;8.11%;7.68%;13.46%;6.57%;7.75%;10.45%;5.45%;12.58%;11.72%;0.97%;8.64%;5.38%;5.72%;9.01%;-0.40%;10.25%;-1.42%;10.73%;7.29%;13.62%;6.19%;9.73%;20.21%;9.29%;9.05%;15.92%;18.90%;10.10%;8.82%;8.95%;2.30%;6.81%;12.54%;13.50%;7.35%;4.65%;-1.13%;7.62%;11.33%;11.23%;1.95%
30.04.2016;1.18%;9.99%;9.22%;-3.33%;1.87%;7.94%;1.92%;1.73%;6.44%;-4.16%;-0.59%;-0.57%;2.12%;-0.86%;-2.65%;-0.98%;6.44%;-5.08%;-0.52%;-9.41%;-1.96%;7.15%;6.21%;-2.65%;-1.19%;-0.29%;-1.62%;10.83%;-6.37%;0.90%;9.69%;6.08%;-0.07%;-3.23%;-1.00%;-17.76%;-0.26%;-3.66%;1.45%;-2.21%;7.07%;6.37%;-12.42%;1.94%;-9.27%;-0.93%;-2.31%;0.68%;-1.94%;0.55%
31.05.2016;6.89%;7.08%;0.70%;3.22%;-2.24%;-2.41%;-2.52%;4.67%;-2.20%;2.79%;6.35%;1.65%;1.59%;1.69%;-1.81%;1.29%;-3.96%;3.07%;5.51%;0.67%;0.72%;6.45%;3.87%;2.43%;2.16%;16.79%;-0.20%;6.20%;8.47%;2.10%;4.24%;-2.56%;4.75%;2.17%;-2.46%;8.55%;2.26%;-2.69%;1.58%;1.70%;1.21%;1.12%;4.75%;8.46%;13.83%;5.76%;0.47%;2.43%;2.70%;6.23%
30.06.2016;7.04%;1.07%;4.49%;8.11%;-0.44%;4.75%;4.97%;8.36%;-0.95%;10.48%;5.36%;3.27%;4.49%;9.29%;10.78%;8.41%;-7.46%;0.36%;1.78%;7.53%;8.05%;0.29%;-14.47%;0.53%;-1.51%;-5.27%;-1.93%;-15.46%;3.29%;-3.54%;-10.60%;1.84%;3.02%;10.13%;-2.94%;-7.76%;-0.45%;-0.32%;-2.13%;18.60%;-14.51%;-1.27%;-0.32%;3.25%;-2.56%;3.35%;12.19%;1.03%;4.25%;4.84%
31.07.2016;5.41%;5.09%;0.15%;-1.31%;5.84%;6.49%;8.29%;0.42%;9.17%;-1.50%;6.33%;4.43%;3.02%;-0.86%;-0.47%;0.24%;-3.34%;3.27%;6.51%;0.01%;3.10%;0.30%;7.03%;11.22%;9.35%;12.77%;2.70%;12.62%;-0.38%;10.09%;2.49%;9.43%;8.75%;-2.72%;0.52%;-4.27%;-0.39%;-0.14%;-0.43%;1.13%;22.79%;9.40%;0.28%;2.99%;5.94%;-3.74%;-1.90%;4.18%;-2.18%;-4.54%
